subset,features,classifier,cv_mean,cv_std,train_prauc,test_prauc,n_train,pos_rate
ALL (4001),sc+pca32+16,LR_C0.1,0.5755601757656448,0.018081107030188087,0.6124123715292827,0.7866067142224213,4001,0.22444388902774307
gemini_only,sc+pca16+8+contr,LR_C0.1,0.5126236623258655,0.07235654326374939,0.5885670819540213,0.7865318308796921,1753,0.11123787792355962
gemini_only,sc+pca32+16,LR_C0.1,0.3734300824043374,0.04237506349809517,0.4475405626431894,0.7862950187066851,1753,0.11123787792355962
ALL (4001),sc+contrast,LR_C0.05,0.5682081975472032,0.01522380588404748,0.5822787034147939,0.786250440838988,4001,0.22444388902774307
ALL (4001),sc+contrast,LR_C0.01,0.5583134868106341,0.018885735526943483,0.5702593487834454,0.7860626322221608,4001,0.22444388902774307
gemini_only,sc+pca32+16+contr,LR_C0.05,0.4360017505589636,0.05984184072133624,0.5333508675374471,0.7853270156339334,1753,0.11123787792355962
gemini+qwen,sc+pca32+16+contr,LR_C0.01,0.5446120864151013,0.026607246150341324,0.5785297982049644,0.784499697849188,3318,0.18173598553345388
no_TruthfulQA,sc+pca32+16+contr,LR_C0.01,0.5446120864151013,0.026607246150341324,0.5785297982049644,0.784499697849188,3318,0.18173598553345388
gemini_only,sc+pca32+16,LR_C0.05,0.37509777752260975,0.04191405075768232,0.4445700816680918,0.7844757164138232,1753,0.11123787792355962
gemini_only,sc+pca16+8+contr,LR_C0.05,0.4908914603988042,0.0629930839307928,0.5575876247997046,0.7839464236261837,1753,0.11123787792355962
ALL (4001),sc+contrast,LR_C0.1,0.5700228991367435,0.015055752906990037,0.5852321533886221,0.7832253520701568,4001,0.22444388902774307
gemini+qwen,sc+pca32+16,LR_C0.05,0.5327221103256559,0.024985342518639233,0.5703528435382551,0.7808072139424107,3318,0.18173598553345388
no_TruthfulQA,sc+pca32+16,LR_C0.05,0.5327221103256559,0.024985342518639233,0.5703528435382551,0.7808072139424107,3318,0.18173598553345388
ALL (4001),ENS_sc+contrast,ensemble_lr_gb,0.5863290125029923,0.014750870873572172,0.0,0.78061529818698,4001,0.22444388902774307
no_TruthfulQA,sc+pca32+16,LR_C0.01,0.528858462803633,0.026565426380938163,0.5624758348557399,0.780399395606107,3318,0.18173598553345388
gemini+qwen,sc+pca32+16,LR_C0.01,0.528858462803633,0.026565426380938163,0.5624758348557399,0.780399395606107,3318,0.18173598553345388
ALL (4001),sc+pca16+8,LR_C0.01,0.5479662968638748,0.019920170149294345,0.5680542242586952,0.7803206296375949,4001,0.22444388902774307
ALL (4001),sc+pca16+8,LR_C0.05,0.5580665534451661,0.018613734885838583,0.5816217552480367,0.7797612126153184,4001,0.22444388902774307
no_TruthfulQA,sc+pca32+16,LR_C0.1,0.5337007656790542,0.024096628342867056,0.5722148881843608,0.7792766659283579,3318,0.18173598553345388
gemini+qwen,sc+pca32+16,LR_C0.1,0.5337007656790542,0.024096628342867056,0.5722148881843608,0.7792766659283579,3318,0.18173598553345388
no_TruthfulQA,sc+contrast,LR_C0.05,0.5453915276643146,0.019140721743231538,0.5578166526326227,0.7789440206744072,3318,0.18173598553345388
gemini+qwen,sc+contrast,LR_C0.05,0.5453915276643146,0.019140721743231538,0.5578166526326227,0.7789440206744072,3318,0.18173598553345388
gemini_only,sc+pca16+8,LR_C0.05,0.3889349978520259,0.03534344043399447,0.43743971912902874,0.7784129609974915,1753,0.11123787792355962
gemini_only,sc+pca16+8,LR_C0.1,0.3897279086899245,0.03398610487231408,0.4426712315010266,0.7783106592426936,1753,0.11123787792355962
no_TruthfulQA,sc+pca16+8+contr,LR_C0.01,0.550107153053778,0.033956971523736675,0.5713581097525003,0.7781225696175387,3318,0.18173598553345388
gemini+qwen,sc+pca16+8+contr,LR_C0.01,0.550107153053778,0.033956971523736675,0.5713581097525003,0.7781225696175387,3318,0.18173598553345388
gemini+qwen,sc+contrast,LR_C0.1,0.545126248996123,0.016714804434286936,0.5596877590201546,0.7778261382829672,3318,0.18173598553345388
no_TruthfulQA,sc+contrast,LR_C0.1,0.545126248996123,0.016714804434286936,0.5596877590201546,0.7778261382829672,3318,0.18173598553345388
ALL (4001),sc+pca16+8,LR_C0.1,0.560926120561865,0.019381077625474256,0.5857941022858544,0.777771373516864,4001,0.22444388902774307
gemini_only,sc+pca32+16,LR_C0.01,0.3739236450937976,0.03537211324352295,0.43140701770605844,0.7764438481938271,1753,0.11123787792355962
no_TruthfulQA,sc+contrast,LR_C0.01,0.5421967667988594,0.024843252699775456,0.5505502860353607,0.7760356429491027,3318,0.18173598553345388
gemini+qwen,sc+contrast,LR_C0.01,0.5421967667988594,0.024843252699775456,0.5505502860353607,0.7760356429491027,3318,0.18173598553345388
